"Номер";"Наименование водного объекта";"Азот нитритный";"Азот аммонийный";"Азот нитратный";"Фенол";"Нефтепродукты";"Органические вещества (по ХПК)";"Железо";"Медь";"Цинк";"Марганец";"БПК5";"Период наблюдений";"Дата модификации"
"366";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.12.2017";"12.01.2018 16:13:18"
"367";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.09.2017";"12.01.2018 16:14:10"
"368";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.10.2017";"12.01.2018 16:14:54"
"369";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.11.2017";"12.01.2018 16:15:29"
"370";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.12.2017";"12.01.2018 16:16:00"
"371";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.09.2017";"12.01.2018 16:16:40"
"372";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.10.2017";"12.01.2018 16:17:08"
"373";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.11.2017";"12.01.2018 16:17:49"
"374";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.12.2017";"12.01.2018 16:18:26"
"375";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2017";"12.01.2018 16:19:22"
"376";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"19.01.2018";"15.02.2018 11:16:54"
"377";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"19.01.2018";"15.02.2018 11:17:30"
"378";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"19.01.2018";"15.02.2018 11:17:52"
"379";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"19.01.2018";"15.02.2018 11:18:46"
"380";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"19.01.2018";"15.02.2018 11:19:17"
"381";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"19.01.2018";"15.02.2018 11:19:39"
"382";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"19.01.2018";"15.02.2018 11:20:17"
"383";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"19.01.2018";"15.02.2018 11:21:02"
"384";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"19.01.2018";"15.02.2018 11:21:36"
"385";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"56,69";" ";"20.02.2018";"16.12.2020 14:01:30"
"386";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.02.2018";"29.03.2018 11:13:47"
"387";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.02.2018";"29.03.2018 11:14:17"
"388";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";"64,16";" ";"20.02.2018";"16.12.2020 14:02:30"
"389";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.02.2018";"29.03.2018 11:15:34"
"390";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.02.2018";"29.03.2018 11:16:25"
"391";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.02.2018";"29.03.2018 11:16:59"
"392";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.02.2018";"29.03.2018 11:17:35"
"393";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";"46,03";" ";"20.02.2018";"16.12.2020 14:04:33"
"394";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";"38,01";" ";"20.02.2018";"16.12.2020 14:03:11"
"395";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";"39,97";" ";"20.02.2018";"16.12.2020 14:03:38"
"396";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";"14,65";" ";" ";"55,08";" ";"20.03.2018";"16.12.2020 14:04:59"
"397";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";"58,01";" ";"20.03.2018";"16.12.2020 14:05:17"
"398";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";"65,57";" ";"20.03.2018";"16.12.2020 14:05:38"
"399";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.03.2018";"25.04.2018 10:17:22"
"400";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.03.2018";"25.04.2018 10:18:18"
"401";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.03.2018";"25.04.2018 10:19:53"
"402";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";"57,01";" ";"20.03.2018";"16.12.2020 14:05:59"
"403";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";"45,35";" ";"20.03.2018";"16.12.2020 14:06:20"
"404";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";"47,92";" ";"20.03.2018";"16.12.2020 14:06:35"
"405";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";"55,45";" ";"20.04.2018";"16.12.2020 14:07:03"
"406";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";"15,25";" ";" ";"59,02";" ";"20.04.2018";"16.12.2020 14:07:18"
"407";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";"13,15";" ";" ";"64,12";" ";"20.04.2018";"16.12.2020 14:07:32"
"408";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.04.2018";"25.06.2018 12:06:02"
